Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
11;Són pel·lícules amb Harrison Ford?;Cinema;A la recerca de l'arca perduda;Veritat;Firewall;Veritat;K-19: The Widomaker;Veritat;The Firm;Fals;Kingsman: Servei secret;Fals;Els indestructibles;Fals;El fugitiu;Veritat;Frenètic;Veritat;Blade Runner;Veritat;Joc d'espies;Fals
12;A quin continent es troba cada riu?;Geografia;Tigris;Àsia;Murray;Oceania;Níger;Àfrica;Amazones;Amèrica;Mississipi;Amèrica;Yukon;Amèrica;Iang-Tsé;Àsia;Nil;Àfrica;Volga;Europa;Amur;Àsia
13;Qui és, a l'Antiga Grècia...?;Història i Mitologia;Zeus;Pare de tots els déus;Posidó;Déu dels mars;Dionís;Déu del vi;Hera;Deessa del matrimoni;Demèter;Deessa de l'agricultura;Ares;Déu de la guerra;Helios;Tità del sol;Gaia;Deessa de la terra;Hermes;Missatger dels déus;Artemisa;Deessa de la caça
14;Ordena aquests esdeveniments de la Segona Guerra Mundial (1r el més antic);Història (Ordenació);Pacte Ribbentrop-Molotov;1;Alemanya envaeix Polònia;2;Operació Barba-roja;3;Japó ataca Pearl Harbor;4;Alemanya perd a Stalingrad;5;El desembarcament de Normandia;6;L'suïcidi de Hitler;7;Bombardeig atòmic de Hiroshima;8;Bombardeig atòmic de Nagasaki;9;Tractat de París;10
15;Ha guanyat un Premi Nobel de la Pau?;Personalitats / Premis;Barack Obama;Veritat;Shimon Peres;Veritat;Joan Pau II;Fals;Desmond Tutu;Veritat;ONJ;Fals;Mahatma Gandhi;Fals;Tenzin Gyatso (Dalai Lama);Veritat;Bono;Fals;Linus Pauling;Veritat;Greenpeace;Fals
16;Nombre de...;Cultura General / Matemàtiques;Muntanyes per sobre dels vuit mil metres;14;Principals escames de la diana de dards;5;Cartes en un pal de baralla espanyola;48;Forats en un camp de golf;18;Cordes de la mandolina;8;Intervencions en un tauler de Go;361;Pecats capitals;7;Tecles d'un piano;88;Novel·les de Les Cròniques de Nàrnia;7;La puntuació de la diana;50
17;Tenen aquestes ciutats més de 10 milions d'habitants (2020)?;Geografia / Demografia;São Paulo, Brasil;Veritat;Ciutat de Mèxic;Veritat;Santiago de Xile;Fals;Guadalajara, Mèxic;Fals;Rio de Janeiro, Brasil;Fals;Brasília, Brasil;Fals;Buenos Aires, Argentina;Veritat;Medellín, Colòmbia;Fals;Lima, Perú;Veritat;Bogotà, Colòmbia;Veritat
19;Qui va inventar...?;Ciència i Tecnologia / Invents;Alexander Graham Bell;Telèfon;George de Mestral;Velcro;Hedy Lamarr;WiFi;Stephanie Kwolek;Kevlar;Nikola Tesla;Corrent alterna;Isaac Singer;Màquina de cosir;Alessandro Volta;Pila elèctrica;Carl Benz;Cotxe amb motor de gasolina;Alfred Nobel;Dinamita;Tim Berners-Lee;World Wide Web
20;Va ser un explorador?;Història / Exploradors;Roald Amundsen;Veritat;Fernão de Magalhães;Veritat;Adam Smith;Fals;Adolf Erik Nordenskiöld;Veritat;James Madison;Fals;Bartolomeu Dias;Veritat;Vasco da Gama;Veritat;David Livingstone;Veritat;Marc Polo;Veritat;Louis Pasteur;Fals
21;És un membre dels Monty Python?;Cinema / Comèdia;Graham Chapman;Veritat;Terry Jones;Veritat;Simon Pegg;Fals;Hugh Laurie;Fals;Eric Idle;Veritat;Michael Palin;Veritat;Rowan Atkinson;Fals;Peter Sellers;Fals;John Cleese;Veritat;Terry Gilliam;Veritat
